ep_season,ep_num,character,costume_detail,costume_source,costume_category
0,0,Michael,Janet Jackson's Boob,,Performer
0,0,Michael,Monica Lewinsky (twice),,Public figure
0,0,Michael,OJ Simpson,,Public figure
0,0,Michael,Microcephalic Penis,,Other
2,5,Michael,Two Headed Michael,,Other
2,5,Dwight,Sith Lord,Star Wars,Fictional character
2,5,Kelly,Dorothy,The Wizard of Oz,Fictional character
2,5,Pam,Cat,,Animal
2,5,Jim,Three Hole Punch Jim,,Low-effort
2,5,Phyllis,Cat,,Animal
2,5,Angela,Kitten,,Animal
2,5,Devon,Bum,,Other
2,5,Kevin,Mr. Incredible,The Incredibles,Fictional character
2,5,Meredith,Zombie,,Classic
2,5,Toby,Hugh Hefner,,Public figure
2,5,Creed,Dracula,,Fictional character
2,5,Oscar,A Woman,,Other
3,6,Michael,Two Headed Michael,,Other
3,6,Carol,Cheerleader,,Occupation
5,6,Pam,Charlie Chaplin,,Performer
5,6,Stanley,Gill-Man,Creature from the Black Lagoon,Fictional character
5,6,Creed,Joker,The Dark Knight,Fictional character
5,6,Dwight,Joker,The Dark Knight,Fictional character
5,6,Kevin,Joker,The Dark Knight,Fictional character
5,6,Kelly,Carrie Bradshaw,Sex and the City,Fictional character
5,6,Ryan,Gordon Gekko,Wall Street,Fictional character
5,6,Oscar,Uncle Sam,,Fictional character
5,6,Meredith,Cheerleader,,Occupation
5,6,Phyllis,Raggedy Ann,Raggedy Ann,Fictional character
5,6,Andy,Cat,Broadway musical Cats,Animal
5,6,Angela,Kitten,,Animal
5,6,Jim,Dave,,Low-effort
6,8,Jim,Facebook,,Low-effort
6,8,Meredith,Hobo,,Other
6,8,Dwight,Billy the puppet,Saw,Fictional character
6,8,Angela,Black Widow,,Animal
6,8,Oscar,Sarah Palin,,Public figure
6,8,Kevin,Paul Blart,Paul Blart Mall Cop,Fictional character
6,8,Kelly,Leeloo,The Fifth Element,Fictional character
6,8,Phyllis,Witch,,Classic
6,8,Erin,Princess Fiona,Shrek,Fictional character
6,8,Pam,Rosemary,Rosemary's Baby,Fictional character
6,8,Stanley,Electicity man,,Low-effort
6,8,Creed,Dracula,,Fictional character
6,8,Ryan,Edward Cullen,the Twilight Saga,Fictional character
6,8,Andy,Michael Jackson,,Performer
6,8,Michael,Dick in a Box,SNL skit,Other
6,8,Darryl,Pumpkin,,Classic
7,6,Michael,MacGruber,MacGruber,Fictional character
7,6,Michael,Darryl,,The Office universe
7,6,Dwight,The Scranton Strangler,,The Office universe
7,6,Jim,Popeye,Popeye,Fictional character
7,6,Pam,Olive Oyl,Popeye,Fictional character
7,6,Ryan,Justin Bieber,,Performer
7,6,Andy,Bill Compton,True Blood,Fictional character
7,6,Stanley,Samurai warrior,,Occupation
7,6,Kevin,Michael Moore,,Public figure
7,6,Creed,mummy,,Classic
7,6,Meredith,Sookie Stackhouse,True Blood,Fictional character
7,6,Kelly,Snooki,,Public figure
7,6,Kelly,Katy Perry,,Performer
7,6,Erin,hideous monster,,Classic
7,6,Angela,penguin,,Animal
7,6,Angela,sexy nurse,,Occupation
7,6,Toby,a hobo clown,,Other
7,6,Oscar,70s pimp,,Occupation
7,6,Oscar,"""rational consumer""",,Low-effort
7,6,Darryl,Dracula,,Fictional character
7,6,Phyllis,Supreme Court Justice Sonia Sotomayor,,Public figure
7,6,Gabe,Lady Gaga,,Performer
7,6,Todd,pregnant nun,,Other
7,6,Bob Vance,Dirty Harry,Dirty Harry,Fictional character
7,6,Cece,Swee'Pea,Popeye,Fictional character
8,5,Andy,Construction Worker,,Occupation
8,5,Jim,Chris Bosh,,Public figure
8,5,Pam,Kangaroo,,Animal
8,5,Angela,Kitten,,Animal
8,5,Phyllis,Burlesque dancer,,Occupation
8,5,Stanley,Chef,,Occupation
8,5,Darryl,Lebron James,,Public figure
8,5,Creed,Osama Bin Laden,,Public figure
8,5,Meredith,Kate Middleton,,Public figure
8,5,Oscar,Anthony Weiner,,Public figure
8,5,Kevin,Dwayne Wade,,Public figure
8,5,Erin,Wendy,the restaurant logo for Wendy's,Fictional character
8,5,Ryan,Jesse Pinkman,Breaking Bad,Fictional character
8,5,Toby,Skeleton,,Classic
8,5,Kelly,Skeleton,,Classic
8,5,Gabe,Skeleton,,Classic
8,5,Dwight,Kerrigan,Starcraft,Fictional character
9,5,Andy,George Michael,,Performer
9,5,Meredith,Black Widow,The Avengers,Fictional character
9,5,Dwight,Pig,,Animal
9,5,Dwight,Jack-o-lantern,,Classic
9,5,Erin,Puppy,,Animal
9,5,Oscar,Dinosaur,,Animal
9,5,Oscar,Electoral College,,Other
9,5,Pam,Dr. Cinderella,,Fictional character
9,5,Jim,Men in Black guy,,Low-effort
9,5,Robert Lipton,Ronald Reagan,,Public figure
9,5,Angela,Nancy Reagan,,Public figure
9,5,Kevin,Charlie Brown,Peanuts,Fictional character
9,5,Phyllis,Cheerleader,,Occupation
9,5,Stanley,Olympic Gold Medalist,,Occupation
9,5,Nellie,Sexy Toby,,The Office universe
9,5,Creed,"Himself, covered in blood",,The Office universe
9,5,Darryl,Cowboy,,Low-effort
